
150 ISOTOPES IN NETWORK:

Index  Isotope   A   Z   N  Abundance Y  MassFrac X  MassXS(MeV)
    0       1n   1   0   1  0.00000e+00    0.000000      8.07100
    1       1H   1   1   0  0.00000e+00    0.000000      7.28900
    2       2H   2   1   1  0.00000e+00    0.000000     13.13600
    3      3He   3   2   1  0.00000e+00    0.000000     14.93100
    4      4He   4   2   2  0.00000e+00    0.000000      2.42500
    5      6Li   6   3   3  0.00000e+00    0.000000     14.08600
    6      7Li   7   3   4  0.00000e+00    0.000000     14.90800
    7      7Be   7   4   3  0.00000e+00    0.000000     15.77000
    8      9Be   9   4   5  0.00000e+00    0.000000     11.34800
    9       8B   8   5   3  0.00000e+00    0.000000     22.92100
   10      10B  10   5   5  0.00000e+00    0.000000     12.05100
   11      11B  11   5   6  0.00000e+00    0.000000      8.66800
   12      12C  12   6   6  4.16633e-02    0.499960      0.00000
   13      13C  13   6   7  0.00000e+00    0.000000      3.12500
   14      14C  14   6   8  0.00000e+00    0.000000      3.02000
   15      13N  13   7   6  0.00000e+00    0.000000      5.34600
   16      14N  14   7   7  0.00000e+00    0.000000      2.86300
   17      15N  15   7   8  0.00000e+00    0.000000      0.10100
   18      14O  14   8   6  0.00000e+00    0.000000      8.00700
   19      15O  15   8   7  0.00000e+00    0.000000      2.85500
   20      16O  16   8   8  3.12525e-02    0.500040     -4.73700
   21      17O  17   8   9  0.00000e+00    0.000000     -0.80900
   22      18O  18   8  10  0.00000e+00    0.000000     -0.78200
   23     17Fl  17   9   8  0.00000e+00    0.000000      1.95200
   24     18Fl  18   9   9  0.00000e+00    0.000000      0.87300
   25     19Fl  19   9  10  0.00000e+00    0.000000     -1.48700
   26     18Ne  18  10   8  0.00000e+00    0.000000      5.30700
   27     19Ne  19  10   9  0.00000e+00    0.000000      1.75100
   28     20Ne  20  10  10  0.00000e+00    0.000000     -7.04200
   29     21Ne  21  10  11  0.00000e+00    0.000000     -5.73200
   30     22Ne  22  10  12  0.00000e+00    0.000000     -8.02400
   31     21Na  21  11  10  0.00000e+00    0.000000     -2.18400
   32     22Na  22  11  11  0.00000e+00    0.000000     -5.18200
   33     23Na  23  11  12  0.00000e+00    0.000000     -9.53000
   34     23Mg  23  12  11  0.00000e+00    0.000000     -5.47300
   35     24Mg  24  12  12  0.00000e+00    0.000000    -13.93300
   36     25Mg  25  12  13  0.00000e+00    0.000000    -13.19300
   37     26Mg  26  12  14  0.00000e+00    0.000000    -16.21500
   38     24Al  24  13  11  0.00000e+00    0.000000     -0.05500
   39     25Al  25  13  12  0.00000e+00    0.000000     -8.91600
   40     26Al  26  13  13  0.00000e+00    0.000000    -12.20800
   41     27Al  27  13  14  0.00000e+00    0.000000    -17.19700
   42     28Si  28  14  14  0.00000e+00    0.000000    -21.49300
   43     29Si  29  14  15  0.00000e+00    0.000000    -21.89500
   44     30Si  30  14  16  0.00000e+00    0.000000    -24.43300
   45     31Si  31  14  17  0.00000e+00    0.000000    -22.94900
   46     32Si  32  14  18  0.00000e+00    0.000000    -24.08100
   47      29P  29  15  14  0.00000e+00    0.000000    -16.95200
   48      30P  30  15  15  0.00000e+00    0.000000    -20.20100
   49      31P  31  15  16  0.00000e+00    0.000000    -24.44100
   50      32P  32  15  17  0.00000e+00    0.000000    -24.30500
   51      33P  33  15  18  0.00000e+00    0.000000    -26.33800
   52      32S  32  16  16  0.00000e+00    0.000000    -26.01600
   53      33S  33  16  17  0.00000e+00    0.000000    -26.58600
   54      34S  34  16  18  0.00000e+00    0.000000    -29.93200
   55      35S  35  16  19  0.00000e+00    0.000000    -28.84600
   56      36S  36  16  20  0.00000e+00    0.000000    -30.66400
   57     33Cl  33  17  16  0.00000e+00    0.000000    -21.00300
   58     34Cl  34  17  17  0.00000e+00    0.000000    -24.44100
   59     35Cl  35  17  18  0.00000e+00    0.000000    -29.01400
   60     36Cl  36  17  19  0.00000e+00    0.000000    -29.52200
   61     37Cl  37  17  20  0.00000e+00    0.000000    -31.76200
   62     36Ar  36  18  18  0.00000e+00    0.000000    -30.23000
   63     37Ar  37  18  19  0.00000e+00    0.000000    -30.94800
   64     38Ar  38  18  20  0.00000e+00    0.000000    -34.71500
   65     39Ar  39  18  21  0.00000e+00    0.000000    -33.24200
   66     40Ar  40  18  22  0.00000e+00    0.000000    -35.04000
   67      37K  37  19  18  0.00000e+00    0.000000    -24.79900
   68      38K  38  19  19  0.00000e+00    0.000000    -28.80200
   69      39K  39  19  20  0.00000e+00    0.000000    -33.80700
   70      40K  40  19  21  0.00000e+00    0.000000    -33.53500
   71      41K  41  19  22  0.00000e+00    0.000000    -35.55900
   72     40Ca  40  20  20  0.00000e+00    0.000000    -34.84600
   73     41Ca  41  20  21  0.00000e+00    0.000000    -35.13800
   74     42Ca  42  20  22  0.00000e+00    0.000000    -38.54700
   75     43Ca  43  20  23  0.00000e+00    0.000000    -38.40800
   76     44Ca  44  20  24  0.00000e+00    0.000000    -41.46900
   77     45Ca  45  20  25  0.00000e+00    0.000000    -40.81300
   78     46Ca  46  20  26  0.00000e+00    0.000000    -43.13500
   79     47Ca  47  20  27  0.00000e+00    0.000000    -42.34000
   80     48Ca  48  20  28  0.00000e+00    0.000000    -44.21500
   81     43Sc  43  21  22  0.00000e+00    0.000000    -36.18800
   82     44Sc  44  21  23  0.00000e+00    0.000000    -37.81600
   83     45Sc  45  21  24  0.00000e+00    0.000000    -41.06900
   84     46Sc  46  21  25  0.00000e+00    0.000000    -41.75900
   85     47Sc  47  21  26  0.00000e+00    0.000000    -44.33200
   86     48Sc  48  21  27  0.00000e+00    0.000000    -44.49300
   87     49Sc  49  21  28  0.00000e+00    0.000000    -46.55200
   88     44Ti  44  22  22  0.00000e+00    0.000000    -37.54800
   89     45Ti  45  22  23  0.00000e+00    0.000000    -39.00700
   90     46Ti  46  22  24  0.00000e+00    0.000000    -44.12500
   91     47Ti  47  22  25  0.00000e+00    0.000000    -44.93200
   92     48Ti  48  22  26  0.00000e+00    0.000000    -48.48700
   93     49Ti  49  22  27  0.00000e+00    0.000000    -48.55800
   94     50Ti  50  22  28  0.00000e+00    0.000000    -51.42600
   95      46V  46  23  23  0.00000e+00    0.000000    -37.07400
   96      47V  47  23  24  0.00000e+00    0.000000    -42.00400
   97      48V  48  23  25  0.00000e+00    0.000000    -44.47500
   98      49V  49  23  26  0.00000e+00    0.000000    -47.95600
