# All quantities actual values (not log10) 
#
# time(s)    dt(s)      dE(erg)  E(erg/g/s)    T(K)    rho(g/cm^3) 2/Rmax(s)
6.2588e-06 6.2588e-07 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
6.8847e-06 6.8847e-07 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
8.3305e-06 8.3305e-07 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
9.1636e-06 9.1636e-07 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.1088e-05 1.1088e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.2197e-05 1.2197e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.4758e-05 1.4758e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.6234e-05 1.6234e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.9643e-05 1.9643e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.1607e-05 2.1607e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.3768e-05 2.3768e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.8759e-05 2.8759e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
3.1635e-05 3.1635e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
3.8278e-05 3.8278e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
4.2106e-05 4.2106e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
5.0949e-05 5.0949e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
5.6044e-05 5.6044e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
6.7813e-05 6.7813e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
7.4594e-05 7.4594e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
9.0259e-05 9.0259e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
9.9285e-05 9.9285e-06 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.2013e-04 1.2013e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.3215e-04 1.3215e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.5990e-04 1.5990e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.7589e-04 1.7589e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.1283e-04 2.1283e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.3411e-04 2.3411e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.8327e-04 2.8327e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
3.1160e-04 3.1160e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
3.7703e-04 3.7703e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
4.1474e-04 4.1474e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
5.0183e-04 5.0183e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
5.5201e-04 5.5201e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
6.6794e-04 6.6794e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
7.3473e-04 7.3473e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
8.8902e-04 8.8902e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
9.7793e-04 9.7793e-05 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.1833e-03 1.1833e-04 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.3016e-03 1.3016e-04 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.5750e-03 1.5750e-04 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.7325e-03 1.7325e-04 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.0963e-03 2.0963e-04 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.3059e-03 2.3059e-04 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.7901e-03 2.7901e-04 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
3.0692e-03 3.0692e-04 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
3.3761e-03 3.3761e-04 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
4.0850e-03 4.0850e-04 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
4.4935e-03 4.4935e-04 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
5.4372e-03 5.4372e-04 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
5.9809e-03 5.9809e-04 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
7.2369e-03 7.2369e-04 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
7.9606e-03 7.9606e-04 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
9.6323e-03 9.6323e-04 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.0596e-02 1.0596e-03 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.2821e-02 1.2821e-03 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.4103e-02 1.4103e-03 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.7064e-02 1.7064e-03 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.8771e-02 1.8771e-03 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.2712e-02 2.2712e-03 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.4984e-02 2.4984e-03 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
3.0230e-02 3.0230e-03 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
3.3253e-02 3.3253e-03 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
4.0237e-02 4.0237e-03 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
4.4260e-02 4.4260e-03 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
5.3555e-02 5.3555e-03 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
5.8910e-02 5.8910e-03 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
7.1282e-02 7.1282e-03 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
7.8410e-02 7.8410e-03 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
9.4876e-02 9.4876e-03 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.0436e-01 1.0436e-02 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.2628e-01 1.2628e-02 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.3891e-01 1.3891e-02 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.6808e-01 1.6808e-02 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.8489e-01 1.8489e-02 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.2371e-01 2.2371e-02 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.4608e-01 2.4608e-02 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.9776e-01 2.9776e-02 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
3.2754e-01 3.2754e-02 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
3.9632e-01 3.9632e-02 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
4.3595e-01 4.3595e-02 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
5.2750e-01 5.2750e-02 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
5.8025e-01 5.8025e-02 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
6.3828e-01 6.3828e-02 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
7.7231e-01 7.7231e-02 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
8.4955e-01 8.4955e-02 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.0280e+00 1.0280e-01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.1307e+00 1.1307e-01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.3682e+00 1.3682e-01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.5050e+00 1.5050e-01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.8211e+00 1.8211e-01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.0032e+00 2.0032e-01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.4239e+00 2.4239e-01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.6662e+00 2.6662e-01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
3.2261e+00 3.2261e-01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
3.5488e+00 3.5488e-01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
4.2940e+00 4.2940e-01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
4.7234e+00 4.7234e-01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
5.7153e+00 5.7153e-01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
6.2869e+00 6.2869e-01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
7.6071e+00 7.6071e-01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
8.3678e+00 8.3678e-01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.0125e+01 1.0125e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.1138e+01 1.1138e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.3476e+01 1.3476e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.4824e+01 1.4824e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.7937e+01 1.7937e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.9731e+01 1.9731e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.3874e+01 2.3874e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.6262e+01 2.6262e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
3.1777e+01 3.1777e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
3.4954e+01 3.4954e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
4.2295e+01 4.2295e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
4.6524e+01 4.6524e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
5.6294e+01 5.6294e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
6.1924e+01 6.1924e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
7.4928e+01 7.4928e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
8.2421e+01 8.2421e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
9.0663e+01 9.0663e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.0970e+02 1.0970e+01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.2067e+02 1.2067e+01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.4601e+02 1.4601e+01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.6061e+02 1.6061e+01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.9434e+02 1.9434e+01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.1378e+02 2.1378e+01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.5867e+02 2.5867e+01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.8454e+02 2.8454e+01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
3.4429e+02 3.4429e+01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
3.7872e+02 3.7872e+01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
4.5825e+02 4.5825e+01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
5.0408e+02 5.0408e+01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
